PLAYER_ID,FIRST_NAME_x,LAST_NAME_x,PLAYER_NAME_x,POSITION_x,HEIGHT_WO_SHOES,HEIGHT_WO_SHOES_FT_IN,WEIGHT,WINGSPAN,WINGSPAN_FT_IN,STANDING_REACH,STANDING_REACH_FT_IN,DRAFT_CLASS,DRAFT_ROUND,DRAFT_NUMBER
202707,JaJuan,Johnson,JaJuan Johnson,PF,81,6' 9'',219.8,86,7' 2'',107.5,8' 11.5'',2011,1,27
202709,Cory,Joseph,Cory Joseph,PG,74,6' 2'',186.2,77.5,6' 5.5'',99,8' 3'',2011,1,29
202683,Enes,Kanter,Enes Kanter,PF-C,81.75,6' 9.75'',259.2,85.5,7' 1.5'',109.5,9' 1.5'',2011,-1,-1
202688,Brandon,Knight,Brandon Knight,PG,73.5,6' 1.5'',176.8,78.75,6' 6.75'',98.5,8' 2.5'',2011,1,8
202723,Malcolm,Lee,Malcolm Lee,SG,76,6' 4'',198.2,81.75,6' 9.75'',101.5,8' 5.5'',2011,2,43
202695,Kawhi,Leonard,Kawhi Leonard,SF,78,6' 6'',227.4,87,7' 3'',106,8' 10'',2011,1,15
202727,Travis,Leslie,Travis Leslie,SG,75,6' 3'',205,82.5,6' 10.5'',103,8' 7'',2011,2,47
202720,Jon,Leuer,Jon Leuer,PF,82,6' 10'',223.2,84,7' 0'',105.5,8' 9.5'',2011,2,40
202732,DeAndre,Liggins,DeAndre Liggins,SF-SG,77,6' 5'',202.2,83,6' 11'',103.5,8' 7.5'',2011,2,53
12428,David,Lighty,David Lighty,SG,76.75,6' 4.75'',216.2,80,6' 8'',101,8' 5'',2011,-1,-1
202714,Shelvin,Mack,Shelvin Mack,PG,73,6' 1'',209,79.5,6' 7.5'',96.5,8' 0.5'',2011,2,34
12430,Demetri,McCamey,Demetri McCamey,PG,73.75,6' 1.75'',204,78.25,6' 6.25'',99.5,8' 3.5'',2011,-1,-1
202734,E'Twaun,Moore,E'Twaun Moore,SG,74.5,6' 2.5'',191.4,81.5,6' 9.5'',99.5,8' 3.5'',2011,2,55
202694,Marcus,Morris,Marcus Morris,PF-SF,79,6' 7'',229.6,82,6' 10'',105.5,8' 9.5'',2011,-1,-1
202693,Markieff,Morris,Markieff Morris,PF,79.75,6' 7.75'',240.8,82.75,6' 10.75'',106.5,8' 10.5'',2011,1,13
202721,Darius,Morris,Darius Morris,PG-SG,75.25,6' 3.25'',190,79.5,6' 7.5'',102,8' 6'',2011,2,41
202718,Chandler,Parsons,Chandler Parsons,SF,80.75,6' 8.75'',221.2,81.5,6' 9.5'',104.5,8' 8.5'',2011,2,38
12436,Jereme,Richmond,Jereme Richmond,SF,78,6' 6'',207.2,82.25,6' 10.25'',106.5,8' 10.5'',2011,-1,-1
202729,Josh,Selby,Josh Selby,SG-PG,73.75,6' 1.75'',194.6,77.25,6' 5.25'',98,8' 2'',2011,2,49
