,name,salary,year,position,GP,MIN,PIE,overall,yearsAfter
245,Drew Barry,62765,1999,Shooting Guard and Point Guard,16,9.9,6.5,57.0,3
246,Maceo Baston,20000,1999,Power Forward,0,0.0,0.0,58.0,1
247,Tony Battie,2530920,1999,Center and Power Forward,82,18.3,9.1,5.0,2
248,Jonathan Bender,2214600,1999,Small Forward,24,5.5,1.9,5.0,0
249,Corey Benjamin,696000,1999,Shooting Guard and Point Guard,48,18.0,4.6,28.0,1
250,Mike Bibby,3092400,1999,Point Guard,82,38.5,11.6,2.0,1
251,Chauncey Billups,3100080,1999,Point Guard and Shooting Guard,13,23.5,7.7,3.0,2
252,Calvin Booth,301875,1999,Center,11,12.9,4.3,35.0,0
253,Cal Bowdler,1025880,1999,Small Forward and Power Forward,46,9.1,6.1,17.0,0
254,Ryan Bowen,301875,1999,Small Forward and Power Forward and Shooting Guard,52,11.3,4.7,55.0,1
255,A.J. Bramlett,118974,1999,Center,8,7.6,-4.7,39.0,0
256,Elton Brand,3375960,1999,Power Forward and Center,81,37.0,14.2,1.0,0
257,Marcus Brown,43294,1999,Point Guard and Shooting Guard,6,7.6,-2.2,46.0,3
258,Kobe Bryant,9000000,1999,Shooting Guard and Small Forward,66,38.2,14.9,13.0,3
259,Greg Buckner,47647,1999,Shooting Guard and Small Forward,48,19.2,6.5,53.0,1
260,Rodney Buford,301875,1999,Shooting Guard and Small Forward,34,11.3,7.1,53.0,0
261,Marcus Camby,5250000,1999,Center and Power Forward,59,26.2,12.4,2.0,3
262,Vince Carter,2267280,1999,Small Forward and Shooting Guard,82,38.1,14.7,5.0,1
263,Kelvin Cato,1299000,1999,Center and Power Forward,65,24.3,10.0,15.0,2
264,John Celestand,301875,1999,Point Guard,16,11.5,1.0,30.0,0
265,Keon Clark,1289400,1999,Power Forward and Center,81,22.9,10.9,13.0,1
266,Chris Crawford,2000000,1999,Power Forward,55,12.1,5.8,50.0,2
267,Austin Croshere,1515120,1999,Power Forward,81,23.3,11.9,12.0,2
268,Vonteego Cummings,704400,1999,Point Guard,75,23.9,8.4,26.0,0
269,Erick Dampier,4988000,1999,Center,21,23.5,4.9,10.0,3
270,Antonio Daniels,2794920,1999,Shooting Guard and Point Guard,68,17.5,10.6,4.0,2
271,Baron Davis,2712480,1999,Point Guard,82,18.6,8.5,3.0,0
272,Ben Davis,45847,1999,Power Forward,5,4.1,7.5,43.0,3
